OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Risaralda,Pereira,PARQUE LA ISLA,6600106080,"BARRIO LA ISLA CRA. 26A #73B-2 A 73B-46,",-75.739919,4.801877,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,POR LA BIBLIOTECA COMFAMILIAR GUAYACANES,6600106081,CLL 84 # 35 B 04 GUAYACANES CUBA,-75.73615,4.794888,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,RECREO PUERTAS DE ALCALA PARQUE,6600106082,CRA 28 #88-03 MZ 5 CS 8 PUERTAS DE ALCALA,-75.741408,4.792333,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,CANCHAS DEL CARDAL,6600106083,CLL 86 CARRERA 40 BARRIO EL CARDAL CUBA,-75.734811,4.790541,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,PARQUE URIBE 1,6600106084,CLL 73 CARRERA 26 BIS RAFAEL URIBE I,-75.739977,4.802847,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,CENTRO POBLADO GUACARY,6600106085,CASETA COMUNA GUACARI VIA PEREIRA ARMENIA,-75.664672,4.747225,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,HOGAR COMUNITARIO TOKIO,6600106086,MZ 25 CS 11 BARRIO TOKIO,-75.679086,4.79253,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,LAS BRISAS,6600106087,MZ 25 CS 11 BARRIO LAS BRISAS,-75.670763,4.79233,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,CASERIO LA BELLA,6600106088,CASERIO LA BELLA AL FRENTE DEL PUNTO DIGITAL,-75.635977,4.762783,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,ALTA GRACIA LEON SUAREZ,6600106089,BARRIO LEON SUAREZ ALTAGRACIA,-75.711977,4.741069,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,2500 LOTES BAIRON GAVIRIA,6600106090,VIA PPAL 2500 LOTES AL FRENTE DEL COLEGIO BAIRON GAVIRIA,-75.733194,4.797194,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,PARQUE ALTAVISTA,6600106091,CARRERA 32 CALLE 81 CANCHA ALTAVISTA,-75.743186,4.795052,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,PARQUE VILLAVERDE,6600106092,VILLA VERDE FRENTE AL CAI,-75.711383,4.79193,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,COLEGIO GABRIEL TRUJILLO CAIMALITO,6600106093,VIA PPAL CAIMALITO CS 328,-75.880097,4.887852,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,PARQUE POBLADO 2,6600106094,MZ 14 CS 21 POBLADO 2,-75.708708,4.802577,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,GAMMA II,6600106095,INTERIOR CONJUNTO GAMMA 2 AL FRENTE DE COLEGIO LUIS CARLOS GONZALEZ REMANSO,-75.74528,4.806511,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,VILLASANTANA MONSERRATE,6600106096,MZ 15 CS 22 BARRIO MONSERRATE REMANSO,-75.668358,4.803152,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,REMANSO,6600106097,PARQUE INTERIOR PUESTO SALUD EL REMANSO,-75.674761,4.789327,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,CANCHA CLL 26,6600106098,CLL 26 CRA 1 BIS GUALANDAY,-75.699552,4.820397,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,PUERTO CALDAS SAN ISIDRO,6600106099,PUERTO CALDAS SAN ISIDRO CARRERA 4 ESCUELA DE FORMACION COMIENZO ARCO IRIS,-75.916033,4.780894,09/19/2016 12:00:00 AM
UNE,Risaralda,Pereira,UTP - LA JULIA,6600106100,UTP - LA JULIA,-75.686058,4.799008,06/05/2017 12:00:00 AM
UNE,Risaralda,Pereira,UTP - CANCHA SINTETICA,6600106101,UTP - CANCHA SINTETICA,-75.690425,4.793703,06/05/2017 12:00:00 AM
UNE,Risaralda,Pereira,UTP - MEDIATORTA,6600106102,UTP - MEDIATORTA,-75.689819,4.792333,06/05/2017 12:00:00 AM
UNE,Risaralda,Pereira,UTP - MODULO DE VENTAS,6600106103,UTP - MODULO DE VENTAS,-75.690111,4.790864,06/05/2017 12:00:00 AM
UNE,Risaralda,Pereira,UTP - CANCHA FUTBOL,6600106104,UTP - CANCHA FUTBOL,-75.686929,4.796863,06/05/2017 12:00:00 AM
ERT,Risaralda,Pueblo Rico,PARQUE PRINCIPAL,6657202001,CRA 4 Y 3 CON CLL 7 Y 6,-76.030613,5.221638,06/05/2017 12:00:00 AM
UNE,Risaralda,Pueblo Rico,BARRIO LOS FUNDADORES ( CENTRO DE INTEGRACIÓN CIUDADANA ),6657206001,BARRIO LOS FUNDADORES ( CENTRO DE INTEGRACIÓN CIUDADANA ),-76.030397,5.224944,06/05/2017 12:00:00 AM
UNE,Risaralda,Pueblo Rico,MANGA DEL MISTER ( CANCHA SINTÉTICA).,6657206002,MANGA DEL MISTER ( CANCHA SINTÉTICA).,-76.032988,5.218622,06/05/2017 12:00:00 AM
ERT,Risaralda,Quinchía,PLAZA DE LA PAZ,6695402001,CLL 8 Y 9 CON CRA 6 Y 7,-75.730617,5.33776,06/05/2017 12:00:00 AM
ERT,Risaralda,Quinchía,PARQUE PRINCIPAL DE IRRA,6695402002,CRA 5 CALLE 3,-75.666626,5.271102,06/05/2017 12:00:00 AM
ETB,Risaralda,Santa Rosa de Cabal,POLIDEPORTIVO LA HERMOSA,6668201000,POLIDEPORTIVO LA HERMOSA CALLE 19 CON CARRERA 20 DOBLE VÍA DE LA HERMOSA,-75.62901,4.8681,06/05/2017 12:00:00 AM
ERT,Risaralda,Santa Rosa de Cabal,BARRIOS UNIDOS,6668202001,CRA 13 CON CALLE 4,-75.6183,4.858179,06/05/2017 12:00:00 AM
ERT,Risaralda,Santa Rosa de Cabal,PARQUE ARAUCARIAS,6668202002,CRA 14 CON CLL 12,-75.620593,4.864852,06/05/2017 12:00:00 AM
ERT,Risaralda,Santa Rosa de Cabal,PARQUE HUECO,6668202003,CR 8B CON CALLE 14,-75.616576,4.867877,06/05/2017 12:00:00 AM
ERT,Risaralda,Santa Rosa de Cabal,PLAZA MERCADO,6668202004,CRA 13 CON CALLE 14,-75.620196,4.866691,06/05/2017 12:00:00 AM
ERT,Risaralda,Santa Rosa de Cabal,PARQUE LOS FUNDADORES,6668202005,CRA 14 CON CALLE 7,-75.61873,4.861094,06/05/2017 12:00:00 AM
UNE,Risaralda,Santa Rosa de Cabal,BARRIO EL TRIUNFO,6668206001,V. EL ESPAÑOL,-75.624246,4.885653,06/05/2017 12:00:00 AM
UNE,Risaralda,Santa Rosa de Cabal,BARRIO LA TRINIDAD,6668206002,CL 25 17-02,-75.626588,4.876866,06/05/2017 12:00:00 AM
UNE,Risaralda,Santa Rosa de Cabal,COLISEO BAYRON GAVIRIA,6668206003,V. MANGAS,-75.624491,4.869294,06/05/2017 12:00:00 AM
ERT,Risaralda,Santuario,PARQUE PRINCIPAL,6668702001,CARRERA 50 CON CALLE 50,-75.265669,6.139488,06/05/2017 12:00:00 AM
