OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Concordia,PARQUE PRINCIPAL,520906001,CLL 19 CON 19 (PARQUE PRINCIPAL),-7590719,6046208,06/02/2017 12:00:00 AM
UNE,Antioquia,Copacabana,PARQUE PRINCIPAL,521206001,CALLE 49 CON CARRERA 50,-75508107,6346221,06/02/2017 12:00:00 AM
UNE,Antioquia,Dabeiba,PARQUE PRINCIPAL,523406001,CALLE 12 CON LA CRA 12,-76266688,700138,06/02/2017 12:00:00 AM
UNE,Antioquia,Don Matías,PARQUE PRINCIPAL,523706001,CARRERA 29 CON CALLE 29,-75394771,6486111,06/02/2017 12:00:00 AM
UNE,Antioquia,Ebéjico,BARRIO EL CARMELO (PARTE ALTA),524006001,SEC CARRERA 10 (SECTOR LA VIRGEN, BARRIO EL CARMELO),-75763083,6327119,06/02/2017 12:00:00 AM
UNE,Antioquia,Ebéjico,PARQUE PRINCIPAL,524006002,CALLE 20 CON CARRERA 20 (PARQUE,-75768055,6326666,06/02/2017 12:00:00 AM
UNE,Antioquia,El Bagre,PARQUE PRINCIPAL,525006001,CLL 50 (PARQUE PRINCIPAL),-74812921,7600009,06/02/2017 12:00:00 AM
UNE,Antioquia,El Carmen de Viboral,PARQUE PRINCIPAL,514806001,PARQUE PRINCIPAL CARMEN DE VIBORAL,-75335334,608293,06/02/2017 12:00:00 AM
UNE,Antioquia,El Santuario,PARQUE PRINCIPAL,569706001,CARRERA 50 CON CALLE 50,-75265669,6139488,06/02/2017 12:00:00 AM
UNE,Antioquia,Entrerrios,PARQUE PRINCIPAL,526406001,CL. 10 #11-42,-75517185,6567571,06/02/2017 12:00:00 AM
UNE,Antioquia,Envigado,POLIDEPORTIVO SUR DE ENVIGADO,526606001,CARRERA 48 - 46 SUR 150,-75600363,6164541,06/02/2017 12:00:00 AM
UNE,Antioquia,Envigado,VIGA SKATE-PARK,526606002,CARRERA 43 # 33 S - 10,-75595908,6169025,06/02/2017 12:00:00 AM
UNE,Antioquia,Fredonia,PARQUE PRINCIPAL,528206001,CRA. 51 #49-2 (PARQUE PRINCIPAL FREDONIA),-75671766,5926938,06/02/2017 12:00:00 AM
UNE,Antioquia,Frontino,PARQUE PRINCIPAL,528406001,CALLE 30 # 30-02,-76128512,6780001,06/02/2017 12:00:00 AM
UNE,Antioquia,Giraldo,PARQUE PRINCIPAL,530606001,CALLE 10 CR 11,-75953111,6680533,06/02/2017 12:00:00 AM
UNE,Antioquia,Girardota,PARQUE PRINCIPAL,530806001,CARRERA 16 CON CALLE 7,-75446044,6377425,06/02/2017 12:00:00 AM
UNE,Antioquia,Gómez Plata,PARQUE PRINCIPAL,531006001,CARRERA 51 CON CALLE 50,-7521933,6681555,06/02/2017 12:00:00 AM
UNE,Antioquia,Granada,PARQUE PRINCIPAL,531306001,CRA. 20 #24-97,-75184386,6144263,06/02/2017 12:00:00 AM
UNE,Antioquia,Guadalupe,PARQUE PRINCIPAL,531506001,CRA. 49 #50 (PARQUE PRINCIPAL GUADALUPE),-75240312,6815089,06/02/2017 12:00:00 AM
UNE,Antioquia,Guarne,PARQUE PRINCIPAL,531806001,CARRERA 50 CON CALLE 50,-75442731,6279926,06/02/2017 12:00:00 AM
UNE,Antioquia,Guatapé,PARQUE PRINCIPAL,532106001,CRA. 30 #30-25,-7516151,6234172,06/02/2017 12:00:00 AM
UNE,Antioquia,Heliconia,PARQUE PRINCIPAL,534706001,PARQUE PRINCIPAL HELICONIA,-75733275,6207001,06/02/2017 12:00:00 AM
